trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,5,-98.23251533276476,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-39.26157128744161,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",20,7,-53.82928941343615,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,3,1.621699354719164,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,0,-95.16828896858023,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,10,-24.420040677888952,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.8858423808639998}",35,12,-72.99541929114962,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.8681255332467198}",20,1,-72.29573764671684,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8507630225817854}",30,0,-8.334341202179834,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.8337477621301497}",30,1,6.21455986267263,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,8,17.617998065953355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,14,9.67113276259158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,10,15.821661355660673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,4,14.727458496040713,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",30,14,27.02306388275635,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,14.051718658633588,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",35,0,-69.11089440002334,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,15,10.914059958695152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,9,19.561456369127935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,8,21.50638708485139,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,12,14.540679699023418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",25,11,27.663803966395655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,15,21.525066811265177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.6283472821521205}",25,5,-30.590796002762445,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,9,26.225425259078502,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,0,23.69329728611815,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5913954351833186}",25,16,17.65440941741308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,5,4.518743205755803,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,35.38876407448083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",30,9,38.11900467141139,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",30,6,40.14515357370625,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,3,38.04955302488992,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,0,-35.46728427003906,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,14,9.894515494089301,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,12,15.583253701732524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.493074620618078}",20,0,28.77120365306836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,0,-35.75799540935155,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,1,-3.7816522732304265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.46407788832877006}",25,0,23.8428537652653,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.45479633056219465}",25,0,40.435968120292415,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,0,28.823898857861757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.4367863958719317}",20,0,25.18539018119104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,11,15.47703472276571,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",30,14,19.019431851272905,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",20,0,31.857508579042715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,7,24.506071579323198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39482030698795667}",20,0,-37.2622756316532,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,10,23.880670266400166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3791854228312336}",25,12,19.929702763765533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,2,29.086539354906392,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.3641696800871167}",25,11,27.54970914365862,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.35688628648537435}",30,10,35.82187772800582,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,10,-27.622523583060037,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.3427535895405535}",25,2,39.52231526568512,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,11,19.876536728852383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,16,5.262646297594053,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.32259693644685267}",35,22,21.610132264674093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3161449977179156}",25,5,23.602570220019103,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.3098220977635573}",25,5,10.011515932758579,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,12,-62.09141454968594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.2975531426921204}",30,19,19.41764432294241,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.291602079838278}",20,2,18.230647369090455,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2857700382415124}",35,23,20.105362874668657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,14,-30.842255988106693,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.27445354472714856}",25,13,20.777137569990145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,11,16.279025966673164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.26358518435595346}",25,15,19.170958955793182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,4,22.28268257813413,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,0,32.4216456700531,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24808426683434853}",20,3,32.74335761493443,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,9,19.450047902225208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.2382601298677083}",25,6,33.62214747540673,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,0,-1.9262812329807801,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.22882502872494706}",30,4,39.77770756459784,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22424852815044813}",20,7,23.303109517716248,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21976355758743915}",20,0,4.142912154272589,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,7,16.333627563874007,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21106092070697655}",25,13,25.45085526289575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20683970229283702}",30,19,23.72326030838025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,10,20.205534845066055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19864885008204067}",20,13,11.690811748624636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19467587308039985}",20,0,26.016829188985003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.19078235561879187}",20,14,10.744996106278268,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18696670850641603}",20,12,13.43266833110062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18322737433628772}",30,5,42.31475691264138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.17956282684956196}",25,0,30.38313908938998,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.1759715703125707}",20,0,30.59150911852607,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.1724521389063193}",20,14,12.24780912835752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,10,18.234324514855338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16562303420562907}",20,0,29.658712728553862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16231057352151648}",25,6,32.3149104471832,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15906436205108615}",25,15,18.460314001207983,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15588307481006441}",20,4,24.966311204261125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15276541331386312}",20,10,-5.698876201597098,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14971010504758586}",20,13,11.235272487933909,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14671590294663414}",25,0,34.41255929468483,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.14378158488770146}",20,13,15.355023600964554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.14090595318994742}",20,14,11.155650750390246,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13808783412614847}",20,2,28.105049264254543,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13532607744362551}",30,14,27.661400626661994,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.132619555894753}",25,7,33.39936685380965,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12996716477685794}",25,15,15.905703271396254,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
